# source: https://www.fantasypros.com/nba/projections/avg-overall.php
# fetched: 2026-09-25T21:00:32+00:00
# page: NBA Fantasy Basketball Overall 2026-27 Average Projections | FantasyPros
# note: FantasyPros consensus per-game projections, 266 players;
#       no FGA/FTA published, so FG%/FT% z-scores are unweighted.
rank,name,team,pos,inj,inj_note,g,mpg,pts,three,reb,ast,stl,blk,fg_pct,ft_pct,to
1,Victor Wembanyama,SAS,C,,,72,31.7,24.8,2.0,11.4,3.3,1.1,3.1,0.491,0.827,2.7
2,Nikola Jokic,DEN,C,,,75,36.2,27.3,1.7,12.5,9.6,1.5,0.8,0.563,0.819,3.3
3,Shai Gilgeous-Alexander,OKC,PG,,,77,34.3,31.1,1.7,4.5,6.3,1.6,0.8,0.528,0.887,2.3
4,Luka Doncic,LAL,"PG,SG",,,73,36.3,30.9,3.6,7.9,8.1,1.6,0.5,0.469,0.787,4.0
5,Tyrese Maxey,PHI,"PG,SG",,,74,36.0,25.4,2.8,3.8,6.0,1.6,0.7,0.463,0.889,2.2
6,Anthony Davis,WAS,"PF,C",OUT,,69,32.4,22.1,0.5,11.0,3.0,1.1,2.0,0.514,0.783,2.2
7,Tyrese Haliburton,IND,"PG,SG",OUT,,71,33.4,18.6,2.8,3.7,9.6,1.2,0.6,0.473,0.852,1.9
8,Kawhi Leonard,TOR,"PF,SF,SG",,,69,32.5,24.9,2.2,6.2,3.7,1.6,0.5,0.5,0.875,2.0
9,Anthony Edwards,MIN,"PG,SF,SG",,,75,35.8,28.8,3.6,5.6,4.3,1.4,0.8,0.47,0.808,3.0
10,Jayson Tatum,BOS,"SF,PF",,,74,36.0,27.7,3.5,8.9,5.7,1.1,0.5,0.447,0.819,3.1
11,Donovan Mitchell,CLE,"PG,SG",,,74,33.3,26.6,3.2,4.8,5.5,1.6,0.3,0.463,0.842,2.6
12,LaMelo Ball,MIN,PG,,,73,30.6,22.5,3.8,5.2,7.8,1.4,0.3,0.414,0.88,3.1
13,Stephen Curry,GSW,PG,,,72,31.8,25.1,4.4,4.1,5.2,1.1,0.4,0.452,0.928,2.8
14,Giannis Antetokounmpo,MIA,"PF,C",,,72,33.1,31.1,0.4,11.5,6.6,1.1,0.9,0.607,0.64,3.4
15,Kyrie Irving,DAL,PG,OUT,,68,35.2,24.0,2.7,4.5,4.8,1.2,0.4,0.478,0.915,2.0
16,Karl-Anthony Towns,NYK,"PF,C",,,74,32.7,21.2,1.7,11.8,3.7,0.9,0.7,0.51,0.851,2.5
17,Cade Cunningham,DET,"PG,SG",,,73,35.3,24.7,2.1,5.8,9.5,1.3,0.8,0.461,0.825,4.0
18,Scottie Barnes,TOR,"C,PF,SF,SG",,,75,33.7,18.6,1.0,7.5,5.9,1.4,1.3,0.487,0.791,2.6
19,James Harden,CLE,"PG,SG",,,75,33.6,20.3,2.8,5.3,8.0,1.3,0.6,0.422,0.875,3.3
20,Jamal Murray,DEN,PG,,,73,35.9,22.5,2.7,4.2,6.3,1.0,0.5,0.475,0.887,2.2
21,Jalen Johnson,ATL,"PF,SF",,,75,36.2,21.2,1.6,9.8,7.1,1.2,0.5,0.485,0.783,3.1
